ZIP,Mean_Income,Estimated PV System Size (kWdc),PV System Size (kWac),Estimated Annual PV Energy Production (kWh)
13901,76443,4823.43,3584.28,5661902
13903,73183,865.89,733.78,1016406
13904,63765,258.35,220.75,303171
13905,69401,752.32,636.94,883119
14001,85694,21795.17,15931.58,25584034
14004,85014,10242.89,7500.96,12023536
14005,103527,143.97,122.19,168981
14006,71199,1770.99,1345.21,2078857
14008,82064,196.4,167.85,230531
14009,76084,16.15,13.8,18953
14011,84036,402.4,343.93,472345
14012,77376,212.78,181.87,249779
14013,67086,70.65,60.39,82933
14020,70003,36783.19,26766.81,43177611
14024,78759,129.63,110.81,152178
14025,104272,240.62,205.65,282432
14026,69597,85.68,72.49,100570
14027,58995,60.18,50.78,70639
14028,81706,311.57,263.84,365738
14029,58936,47.16,40.3,55349
14030,86505,68.15,58.25,80000
14031,122703,630.23,537.09,739799
14032,169502,525.59,447.55,616933
14033,87883,208.84,178.5,245153
14034,78504,204.7,174.95,240276
14036,90007,266.93,228.16,313341
14037,87754,6304.31,4580.62,7400270
14040,87810,402.19,342.07,472106
14041,72050,7.55,6.45,8858
14042,61201,172.16,147.14,202080
14043,78331,1135.97,962.04,1333418
14047,82249,186.92,159.77,219408
14048,55013,311.46,265.17,365588
14051,132268,1503.6,1285.16,1765004
14052,113413,3596.7,2713.6,4221930
14054,77320,108.45,92.7,127315
14055,74585,160.57,137.24,188485
14057,97958,598.89,511.35,702979
14058,85374,193.24,164.72,226835
14059,122947,988.96,837.16,1160878
14060,61649,33.35,28.5,39142
14061,103865,19.36,16.54,22716
14062,68735,386.21,328.39,453350
14063,81832,2553.6,1973.81,2997506
14065,72286,36.32,31.04,42630
14066,65151,8692.2,6307.8,10203260
14067,86662,459.72,391.96,539662
14068,136695,387.73,330.89,455135
14069,79502,5.85,5.0,6867
14070,67608,182.09,154.35,213749
14072,109829,12884.81,9642.97,15124642
14075,92098,2290.54,1947.55,2688650
14080,81763,571.79,484.56,671197
14081,58483,96.28,82.29,113016
14082,90762,91.45,77.4,107357
14085,105140,517.88,442.64,607908
14086,110646,2056.41,1747.33,2413813
14091,98076,154.46,131.29,181310
14092,86972,395.58,337.57,464326
14094,80945,10022.31,7654.91,11764455
14098,75994,4374.18,3200.15,5134577
14101,68013,159.86,136.62,187632
14102,117990,46.19,39.48,54222
14103,68008,12422.13,9088.52,14581572
14105,77777,508.37,433.82,596741
14108,83805,477.03,404.64,559935
14111,80239,365.71,310.86,429294
14113,79148,67.29,57.0,78988
14120,83675,1965.36,1672.41,2307021
14125,73741,570.63,483.44,669818
14126,89847,20.59,17.6,24172
14127,121664,1406.55,1197.65,1651047
14129,79929,49.84,42.6,58507
14130,53290,10789.27,7821.6,12664879
14131,103126,20106.4,14669.68,23601684
14132,95905,7688.74,5665.93,9025342
14134,42649,14.04,12.0,16481
14136,70747,13960.62,10136.85,16387534
14138,72900,103.4,87.52,121376
14139,90404,186.9,159.76,219408
14141,84293,401.57,343.25,471397
14143,84269,122.33,104.56,143603
14145,93211,55.54,47.46,65187
14150,74001,15243.47,11604.1,17893298
14166,86368,7.02,6.0,8240
14167,81424,181.16,154.85,212664
14169,54158,2.01,1.72,2362
14170,115731,75.08,64.17,88123
14171,78983,13945.24,10124.12,16369460
14172,77305,346.44,294.46,406683
14174,103937,1490.44,1258.17,1749554
14201,50687,548.8,463.68,644165
14202,89195,313.77,264.86,368312
14203,55228,143.77,121.0,168762
14204,43528,423.46,357.22,497062
14206,56147,727.07,613.38,853411
14207,50831,781.26,658.69,917072
14208,50259,305.05,257.4,358083
14209,63670,363.68,306.6,426894
14210,51183,464.06,393.13,544698
14211,48611,994.74,837.25,1167663
14212,45426,274.03,231.38,321649
14213,64331,1145.92,968.85,1345081
14214,74784,504.13,427.78,591738
14215,52476,1036.97,875.2,1217177
14216,83869,881.06,746.95,1034140
14217,78479,1515.9,1281.77,1779382
14218,56762,13718.57,10002.19,16103383
14219,74944,1231.06,1037.4,1445048
14220,71460,3506.11,2637.45,4115517
14221,118144,4995.13,4232.88,5863429
14222,100956,498.28,424.08,584846
14223,87326,1036.79,882.37,1216981
14224,85520,1833.19,1554.78,2151818
14225,68124,1854.94,1568.67,2177288
14226,108562,2688.24,2170.97,3155416
14227,72283,864.22,731.08,1014417
14228,82615,18286.58,13539.02,21465488
14301,45538,99.29,84.39,116550
14303,58398,265.99,223.65,312232
14304,74406,1122.58,950.81,1317718
14305,64107,5081.83,3713.57,5965252
14411,60488,2490.34,1956.19,2923206
14414,91069,7553.13,5542.68,8866153
14416,84717,344.97,294.34,404947
14418,65459,325.57,276.03,382173
14420,76221,31293.2,22876.33,36733153
14422,94493,186.61,158.85,219043
14423,80890,4941.38,3604.17,5800380
14424,98646,10419.46,7948.38,12230796
14425,88251,1034.92,876.25,1214826
14427,64098,151.5,128.94,177831
14428,94417,677.34,578.44,795085
14432,90679,7583.5,5580.42,8901783
14433,64079,832.08,702.63,976718
14435,111404,373.07,318.33,437889
14437,76625,531.52,454.3,623913
14445,66679,51.37,43.9,60296
14450,118197,362.03,309.4,424936
14454,84523,11831.62,8670.12,13888401
14456,79438,21203.34,15669.0,24889309
14462,84740,53.97,46.12,63341
